"neighborhood","property_type","units","avg_size","distance_to_public_transport","distance_to_schools","distance_to_park","recent_sale_price","year_built","crime_rate"
"Columbia Heights","Condominium",21,1571,0.67,0.72,0.99,1739228,1967,5.7
"Petworth","Townhouse",24,1173,0.17,0.8,0.83,NA,1990,12.1
"U Street Corridor","Single Family Home",32,980,0.75,0.66,0.91,701071,2011,5.2
"Adams Morgan","Townhouse",14,1241,0.41,0.48,0.49,1186984,1968,20.7
"Dupont Circle","Townhouse",11,817,0.63,0.45,0.58,1869701,2015,16.1
"U Street Corridor","Townhouse",30,1188,0.23,0.25,0.67,630529,2014,17.9
"Van Ness","Condominium",15,1260,0.36,0.87,0.29,1321568,2019,13.5
"Petworth","Single Family Home",22,1040,0.46,0.23,0.52,1322626,1964,17.9
"Deanwood","Single Family Home",10,1648,0.13,0.13,0.11,907452,1996,16.1
"Capitol Hill","Single Family Home",30,1275,0.53,0.36,0.34,1849440,1985,6.9
"Congress Heights","Single Family Home",28,1228,0.6,0.96,0.36,NA,2008,21.6
"Van Ness","Single Family Home",28,1471,0.43,0.56,0.5,NA,1957,12.1
"Dupont Circle","Townhouse",35,1157,0.11,0.46,0.4,1173468,1977,22.2
"Dupont Circle","Single Family Home",33,1055,0.14,0.56,0.52,NA,1963,15.3
"Adams Morgan","Townhouse",30,1449,0.55,0.73,0.94,1842682,1997,11.4
"Shaw","Single Family Home",27,1135,0.5,0.73,0.21,949567,1972,6.2
"Columbia Heights","Condominium",14,1210,0.71,0.82,0.8,1022816,2014,13.8
"Woodley Park","Condominium",21,1015,0.78,0.54,0.69,803888,2014,18.6
"Dupont Circle","Condominium",35,1255,0.9,0.43,0.75,1276236,1980,10
"Columbia Heights","Single Family Home",28,867,0.11,0.83,0.88,1924564,1961,7.5
"Southwest Waterfront","Single Family Home",21,1036,0.89,0.56,0.13,1386616,2012,19.9
"Petworth","Condominium",34,1302,0.23,0.83,0.94,1154464,1956,12
"Mount Pleasant","Condominium",8,1340,0.69,0.28,0.7,NA,1979,9.2
"Adams Morgan","Condominium",28,912,0.83,0.18,0.38,1573742,1976,23
"Columbia Heights","Single Family Home",40,1377,0.52,0.8,0.42,NA,2018,19.8
"Anacostia","Townhouse",5,1037,0.71,0.69,0.34,NA,1973,23.5
"Van Ness","Condominium",27,1250,0.43,0.57,0.95,NA,1961,12.4
"Brookland","Single Family Home",20,1344,0.48,0.18,0.25,878063,1988,9
"Adams Morgan","Condominium",11,1557,0.34,0.76,0.82,1259918,1976,6.7
"Mount Pleasant","Single Family Home",38,1078,0.23,0.89,0.29,731943,2005,16
"U Street Corridor","Condominium",8,1174,0.44,0.27,0.73,NA,1959,14.4
"Woodley Park","Condominium",25,1075,0.4,0.48,0.48,NA,1967,18.4
"Shaw","Condominium",21,1271,0.7,0.48,0.13,1370255,1978,23.4
"Mount Pleasant","Townhouse",9,1148,0.11,0.36,0.75,924137,2019,22.5
"Kingman Park","Townhouse",40,1238,0.21,0.33,0.96,1336389,1961,20.6
"Shaw","Condominium",34,1144,0.51,0.62,0.3,1132033,1996,19.8
"Foggy Bottom","Single Family Home",23,1243,0.68,0.32,0.76,1054412,1976,21.7
"Shaw","Single Family Home",39,1358,0.44,0.22,0.32,1595688,1986,9.8
